batch,threshold,precision,recall,f1_score,total_samples,anomalies,seed
gaussian_batch_02_features.csv,0.012025,0.9986290806271956,0.9763350785340316,0.9873562488086918,477501,23875,99
gaussian_batch_03_features.csv,0.012025,0.9986978072754767,0.9958115183246072,0.9972525744007048,477501,23875,99
gaussian_batch_04_features.csv,0.012025,0.9986605274173296,0.9992879581151832,0.9989741442478802,477501,23875,99
gaussian_batch_05_features.csv,0.012025,0.9986978072754767,0.9958115183246072,0.9972525744007048,477501,23875,99
gaussian_batch_06_features.csv,0.012025,0.9986574928679308,0.9970261780104712,0.997841168703234,477501,23875,99
gaussian_batch_07_features.csv,0.012025,0.9986595174262736,0.9985340314136124,0.9985967704777264,477501,23875,99
gaussian_batch_08_features.csv,0.0060125,0.9974931060416145,0.999958115183246,0.9987240896065596,477501,23875,99
gaussian_batch_09_features.csv,0.0090187499999999,0.9982439269139106,1.0,0.9991211918312688,477501,23875,99
gaussian_batch_10_features.csv,0.0135281249999999,0.9988700564971752,0.9997068062827223,0.999288256227758,477501,23875,99
gaussian_batch_11_features.csv,0.0135281249999999,0.9989115874079036,0.999455497382199,0.999183468375102,477501,23875,99
gaussian_batch_12_features.csv,0.0135281249999999,0.9988701510649872,0.9997905759162304,0.999330151553211,477501,23875,99
gaussian_batch_13_features.csv,0.0202921874999999,0.9994557937039518,1.0,0.9997278227917008,477501,23875,99
gaussian_batch_14_features.csv,0.0202921874999999,0.999372069658406,0.999916230366492,0.9996440759583778,477501,23875,99
gaussian_batch_15_features.csv,0.0101460937499999,0.9984526597524256,1.0,0.9992257308473016,477501,23875,99
gaussian_batch_16_features.csv,0.0152191406249999,0.9992465782093676,0.999916230366492,0.9995812921324791,477501,23875,99
gaussian_batch_17_features.csv,0.0228287109374999,0.999497634696697,1.0,0.9997487542397722,477501,23875,99
gaussian_batch_18_features.csv,0.0342430664062499,0.9999162338750208,0.999958115183246,0.999937174090595,477501,23875,99
gaussian_batch_19_features.csv,0.0342430664062499,0.9999162268576696,0.9998743455497382,0.999895285765147,477501,23875,99
gaussian_batch_20_features.csv,0.0342430664062499,0.9999161952650324,0.9994973821989528,0.9997067448680352,477501,23875,99
gaussian_batch_01_features.csv,0.0171215,0.9990332910398164,0.692565445026178,0.8180378964033048,477501,23875,123
gaussian_batch_02_features.csv,0.0171215,0.9992288150970786,0.9225968586387434,0.9593850040288334,477501,23875,123
gaussian_batch_03_features.csv,0.0171215,0.9993187720866864,0.9830785340314137,0.9911321312444576,477501,23875,123
gaussian_batch_04_features.csv,0.0171215,0.9992856242383492,0.9960209424083768,0.997650612518879,477501,23875,123
